"","Event description","LocationLon","LocationLat","Severest event","Job satisfaction","Age","t1copeaccept","t1copeact","t1copeblame","t1copedenial","t1copediseng","t1copedistr","t1copeemosup","t1copehumor","t1copeinssup","t1copeplan","t1coperefram","t1copevent","Event disruptiveness","Education level","t1emotions","t1found","t1gender","t1jobsa","t1jobstr","t1lang","t1location","t1meansev","Event novelty","t1occ","Co-ownership","Event performance impact","t1preocc","Problem solved","Industry","t1threat","Business age","t1wofa","t2copeaccept","t2copeact","t2copeblame","t2copedenial","t2copediseng","t2copedistr","t2copeemosup","t2copehumor","t2copeinssup","t2copeplan","t2coperefram","t2copevent","t2disrup","t2emotionslast","t2evcat","t2jobsa","t2jobstr","t2novel","t2perfo","t2profskill","t2threat","t2threatlast","t2wofa","t3copeaccept","t3copeact","t3copeblame","t3copedenial","t3copediseng","t3copedistr","t3copeemosup","t3copehumor","t3copeinssup","t3copeplan","t3coperefram","t3copevent","t3disrup","t3emotionslast","t3evcat","t3jobsa","t3jobstr","t3novel","t3perfo","t3threat","t3threatlast","t3wofa","ID_code","Average event severity","Job strain"
"86","Cash flow issues.",-2.72079467773438,54.1855926513672,1,3,23,2.5,4,2,1,1,2,1,1,3,4,1.5,2.5,5,4,3.13333333333333,1,1,-1.32894563914619,2.33333333333333,1,7,3.22222222222222,4,3,2,4,NA,3,4,3.33333333333333,2131,1.66666666666667,2.5,3,2.5,2,1,2,2,1,3,2.5,1.5,1.5,4,3.22222222222222,1,-0.75752249833073,2.16666666666667,2,4,2.625,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092,3,2
"87","Offshore auditing for legal documents.",4.86309814453125,52.3426055908203,4,5,22,3,4,1,1,2,1,2.5,1,4,2.5,2.5,1.5,5,3,2.46666666666667,1,1,0.328485879337534,1.66666666666667,1,1,3,1,3,1,5,NA,1,2,4.66666666666667,762,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093,3,2
"88","You get a lot of opportunities and you really need to focus on which ones to take and which one not to take. with more personnel and support we could make a broader choice.",5.72970581054688,50.8345947265625,5,5,28,1,3,1.5,1,1,1,3.5,2,3.5,4,2,2,4,4,1.4,1,1,-0.195184499002002,2.16666666666667,2,1,4.33333333333333,4,4,2,5,NA,1,4,3,365,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11111111111111,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094,4,2
"89","We are going to liquidate the BV",4.68539428710938,52.4835968017578,8,3,24,3.5,2,3.5,2,3,1,2.5,2.5,3,3.5,3.5,1,2,4,1.26666666666667,1,1,-0.508709104510373,1.16666666666667,2,1,2.66666666666667,1,3,2,5,NA,3,1,2.66666666666667,610,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,3,1
"90","Fluctuations in copper prices which created a constrain during the production process.
",55.3087005615234,25.2633056640625,1,4,49,2,2.5,2,1,2,3,3.5,1,2,3.5,1.5,2.5,5,4,4.2,2,2,-0.745785679405712,2.83333333333333,3,3,4.66666666666667,4,1,1,5,NA,4,5,3.33333333333333,5328,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,5,3
"91","Unfavourable outcome from a sales meeting. Customers questioned our value proposition.",4.83839416503906,52.3520050048828,2,5,23,3,4,2,1,1,2.5,3.5,4,3.5,3.5,3.5,2,4,4,2.73333333333333,2,1,0.119884292494495,2,1,1,4,5,1,2,3,NA,4,3,1,3561,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097,4,2
"92","Overworked, & underpaid employees

I haven’t had consistent help for more than 3 days out the week",-84.2950973510742,33.7657012939453,5,4,36,4,3.5,3,2,1.5,4,2,2.5,3,3.5,2,4,5,3,3.73333333333333,1,1,0.0822977137281196,2.66666666666667,1,6,4.55555555555556,6,1,1,5,NA,4,3,5,1400,4.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098,5,3
"93","Tough onboarding process due to the chicken and egg problem, which is typical for marketplaces.",9.80160522460938,52.3135986328125,8,4,26,2,3,1.5,1,1,2.5,3.5,1,2.5,4,2,2,5,4,2.66666666666667,1,1,-0.426497734045127,1.66666666666667,3,4,5,5,2,2,5,NA,2,1,4,245,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,5,2
"94","We received a negative review from a client. This event occurred because the client wasn't informed about the unavailability of a chef. The client waited for several days and was supposed to hear from us.",4.27059936523438,52.0491943359375,2,5,24,2.5,3,3,1,1,1,2,1.5,2.5,2.5,1,1.5,3,3,2.13333333333333,1,1,0.0455096396630431,1.16666666666667,2,1,3,2,3,2,4,NA,5,5,1.33333333333333,854,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101,3,1
"95","The quality of our product was not good enough. We ordered samples and they were good but when the full order was shipped to us. There were some problems with the product",9.97390747070312,53.5650939941406,6,3,21,4,3,1,1.5,2.5,1.5,1.5,1.5,2.5,3.5,2.5,2,3,4,2.13333333333333,1,1,0.00161024752256123,1.33333333333333,3,4,3,2,2,2,4,NA,3,4,3.66666666666667,579,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,3,1
"96","The companies weren't communicated with the Belastingdienst which could've resulted in a 5000,- fine. This was handled fast with my partner and me to avoid it.",4.92430114746094,52.3607025146484,1,2,26,3,4,2.5,1,1,2,2,1,3.5,3.5,1.5,2,4,3,2.93333333333333,1,1,-1.86361421223868,2.83333333333333,2,1,3.66666666666667,2,4,2,5,NA,5,3,2.66666666666667,396,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,4,3
"97","As this is my only mean of income so less orders can take a strain on my monthly bills.",6.60079956054688,53.2109985351562,1,4,33,3,3,2,2,1,2,3,2,2,3.5,3,1,5,6,2.6,1,2,-0.313355016238368,1.33333333333333,1,1,4,2,1,1,5,NA,3,5,3.33333333333333,610,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,4,1
"98","Panic attack",4.45620727539062,51.9297943115234,8,5,35,4,4,3,2,2.5,4,4,3,4,4,4,2.5,5,4,3.2,1,1,0.573046612951693,1.66666666666667,2,1,4.66666666666667,5,4,1,5,NA,4,1,5,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,5,2
"99","I was denied participation in the local entrepreneur program because my startup wasn't mature enough.",6.56219482421875,53.1941986083984,1,4,39,4,3.5,2,1,1,2.5,3,2.5,3,4,3.5,1.5,4,4,1.73333333333333,1,2,0.0666039967320915,1.66666666666667,3,1,3,2,2,1,3,NA,3,1,4,488,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106,3,2
"100","Difficult discussions with the business partners regarding short, medium and long term product and business strategy.",7.04409790039062,52.4479064941406,2,4,53,1.5,3.5,3.5,1.5,2.5,2.5,3.5,1,3.5,3.5,3.5,3,5,4,4.2,1,1,-0.426497734045127,3.33333333333333,1,4,4.5,5,1,2,5,NA,2,1,4.33333333333333,0,2.33333333333333,3,2,2,1.5,2,4,2,1,2,1.5,2,2,3,4.11111111111111,1,-0.161508350140496,3.16666666666667,4,4,3.25,3.66666666666667,4.33333333333333,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,4,3
"101","Colleague doesn't do his job well",6.58279418945312,53.2263946533203,2,5,24,3.5,4,3,1,2.5,4,2,3,2.5,4,4,2.5,4,5,2.93333333333333,1,1,0.366435157883104,1.5,2,1,4.33333333333333,5,3,2,4,NA,5,4,5,701,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108,4,2
"102","Taking on wayyyy too much on my plate but what can you do on such a pandemic season. I need capital to keep moving.",24,-29,7,5,22,4,4,3,2.5,1,3.5,4,2,3,4,4,2,5,2,2.8,1,3,NA,1,1,3,4.25,6,2,1,5,NA,1,7,2.33333333333333,700,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109,4,1
"103","Disagreement with licensee",13.4096984863281,52.5451049804688,8,4,38,2.5,3,1.5,1,3,2.5,3,1.5,3,3.5,3,1.5,3,6,1.26666666666667,1,1,0.307298135397137,1.33333333333333,1,3,3.66666666666667,4,1,1,4,NA,2,7,1,4140,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,4,1
"104","My customer had an allergic reaction and didn't get in touch afterwards",9.1199951171875,52.1752014160156,2,5,20,3.5,3.5,2,1,2.5,1.5,3,1,3,4,2.5,1.5,2,2,2,1,2,0.807884024893175,1.33333333333333,3,4,2,1,2,1,3,5,2,5,2,-335,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,2,1
"105","Currently missing expertise in some areas, slowing down development significantly",6.55039978027344,53.2306060791016,5,4,22,4,1.5,1,1,1,4,2.5,1,4,3.5,3,1,4,2,2.93333333333333,1,1,-1.00416366684124,2.33333333333333,3,1,3.66666666666667,5,3,2,5,5,3,3,1,-212,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77777777777778,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112,4,2
"106","did not spend money properly, business is not operating anymore (not in last week, our business was up and running from 2016-2018)",-79.5001983642578,43.6089019775391,1,4,22,4,2.5,1.5,1,2.5,1,1,1,1,2,1.5,1,5,4,2.13333333333333,2,1,0.0826502726430945,1.16666666666667,1,5,3.66666666666667,1,2,2,5,5,1,3,1,1126,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1116,4,1
"107","We ran out of products and had to stop advertising",14.1562042236328,57.781494140625,6,4,19,4,3,1,1.5,1,3.5,3.5,1.5,3,4,4,1.5,3,6,2.46666666666667,1,2,NA,1.5,3,3,3,1,3,2,5,5,5,5,2.66666666666667,-335,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44444444444444,NA,0.562178061306376,1.33333333333333,NA,NA,3.125,NA,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,3,2
"108","One of our vendors did not properly tag their products for sale in our retail store.  We use this as a backup in case the product is not entered in the system.  We had technical issues where the products where not displaying properly on the system so we removed the products from the shelf and contacted the vendor for info on price so we could sell the products.  We did not hear back until the following day when the vendors business partner contacted us in anger demanding compensation for lost sales.",-123.145599365234,49.2584075927734,2,5,23,4,2.5,1.5,1,1,2,1.5,3.5,1.5,2.5,3.5,1.5,4,4,2.13333333333333,1,1,0.532754643716698,1.5,1,5,4.33333333333333,4,2,2,5,5,5,1,1,-92,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1118,4,2
"109","As we're a young business, we're still only two people working for it, but the demands from our main client often exceed our resources.",10.0287933349609,53.5843963623047,5,4,30,3.5,3,1,1,1.5,3,3.5,2.5,2.5,2.5,2.5,2.5,5,4,2.86666666666667,1,1,0.0548905432849644,2.16666666666667,3,4,3.83333333333333,5,3,2,2,6,2,4,4.66666666666667,214,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119,4,2
"110","Employees or hard to recruit Work is produce not at a normal speed. Even if we allow over time (after 35 hours/week) employees do not accept to word more. Because we are not a essential service, we do not impose. We hope!",-73.5821990966797,45.5153961181641,5,4,56,2,3.5,2,1,1,2,1.5,1,2,3,1.5,2.5,5,4,2.53333333333333,1,1,0.307298135397137,2.33333333333333,3,5,4.33333333333333,4,5,2,4,6,3,3,4,731,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,0.18798786825614,2.33333333333333,NA,NA,2.625,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,4,2
"111","Conflict with colleagues : not exacly a conflict because I didn't tell him. But after a discussion (and It happen several times) I had a feeling  that this personn had too much principles. And that hinders me from wanting to work with this personn.",-73.5821990966797,45.5153961181641,2,4,51,3.5,2,1.5,1,3.5,3,1.5,1,1,1.5,3,3,3,4,1.93333333333333,1,2,0.0779648912642437,1.66666666666667,3,5,3,3,1,2,3,3,1,7,3.33333333333333,700,1.66666666666667,2.5,2,1,1,1.5,1.5,3,3,3,2,3,2.5,4,1.22222222222222,1,0.004864543641292,1.5,6,3,1,2.33333333333333,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121,3,2
"112","The Boss thinks that I’m not legally capable to do the job",13.4358978271484,52.4743041992188,4,4,23,2.5,4,2,3,2,3,3.5,2,3,3.5,3.5,3,4,3,3.13333333333333,1,1,-0.0300262176489016,2.16666666666667,3,4,3,1,3,2,4,6,2,3,3,396,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122,3,2
"113","Artwork was supplied by client, it was supposed to be sent off to printer but it was not, now we may not meet the deadline.",-79.4195022583008,43.6643981933594,7,5,32,4,3.5,3,1,1,1,1,1,1,4,2,1,5,4,1.93333333333333,1,2,0.827444336838316,1.33333333333333,1,5,4.33333333333333,4,1,2,4,2,2,4,3.66666666666667,1218,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123,4,1
"114","COVID 19",9.49099731445312,51.2993011474609,8,3,56,4,4,1,2,1,3,3.5,1,2,4,3.5,2,4,4,2.26666666666667,1,1,-1.32625038954179,2.16666666666667,3,4,3,1,1,1,4,3,1,2,4.33333333333333,-182,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,3,2
"115","Working too hard and wanting too much. It caused me to burn out and become sick.",5.91459655761719,51.9806976318359,8,5,20,2,4,4,2,1,1.5,4,1.5,3,3,4,2,5,4,2.8,1,2,0.434953083990992,1.66666666666667,2,1,4,2,5,1,5,5,3,3,4.66666666666667,183,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1125,4,2
"116","When ordering the outside packaging of one of our face mask products, the manufacturer had engraved a logo different to what we specified.",4.86599731445312,52.3639984130859,6,4,19,2,4,4,2,1.5,3,1.5,2,1.5,4,2.5,3,5,2,3.06666666666667,1,2,-0.300470217446528,3,1,7,3.66666666666667,1,3,2,5,5,4,4,4.33333333333333,183,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126,4,3
"117","i had a screening of one of my short films, and the quality of the video was awful, therefore it was presented badly to the people watching it, which might have led to undermining my professional skills related to what i do.",27.9167022705078,43.2167053222656,6,5,24,4,1,1,1,1,1,3,4,2,2,1,1,1,4,1.6,1,1,0.612986023271713,1.16666666666667,3,3,2,2,1,1,3,2,1,3,3,274,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88888888888889,NA,0.268862211781512,1.83333333333333,NA,NA,2.875,NA,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1127,2,1
"118","We had to lay off a lot of people because of a new business direction. Consequently we lost our team culture and some of the people that we still kept we’re not really motivated anymore. The team you build is the company that you build. So was quite a tough challenge.",13.4102935791016,52.5520935058594,8,4,22,4,4,1.5,1,3,3,4,1,4,3.5,2.5,1.5,3,3,2.4,2,1,-0.708188959775117,2.16666666666667,3,4,3,1,2,2,5,1,2,7,4,914,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,3,2
"119","Because of COVID-19 some clients did not realize projects",11.5832977294922,48.1499938964844,1,5,61,3.5,2.5,1,2.5,2.5,3,4,2,3,3.5,3,2,4,6,1.13333333333333,1,1,0.84817599412817,1.33333333333333,3,3,3.16666666666667,5,2,2,4,2,4,3,3.66666666666667,639,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130,3,1
"120","an assignment (speaking job) got cancelled last minute.",6.54960632324219,53.2053985595703,8,4,30,4,2,2,1,1,2,3,1.5,1,1.5,3,2,2,6,2.2,1,2,0.313154862120701,1.33333333333333,2,1,2.66666666666667,3,4,1,3,3,4,1,1.66666666666667,214,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44444444444444,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131,3,1
"121","COVID 2nd wave hit the Netherlands. It disrupted our ability to meet up with people physically and show up to places",6.56640625,53.2221984863281,8,5,24,3.5,3.5,1.5,1,1,1.5,2.5,1.5,3.5,3,3.5,1.5,4,4,2.46666666666667,1,1,-0.0171515597212814,1.5,3,1,3.66666666666667,2,1,3,5,5,3,3,2,183,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44444444444444,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,4,2
"122","Corona made it slower",6.56640625,53.2221984863281,8,5,24,3.5,4,1.5,1,1,2.5,2,NA,1.5,3,3,1.5,2,4,3.2,1,1,0.845833303438744,1.33333333333333,3,1,2.66666666666667,2,1,2,4,6,NA,4,5,183,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,3,1
"123","We negotiated with a new service provider (logistics) and although our PoC was aware of the time pressure that we had, he was not replying in time and it was very hard for me to get my information.",11.5832977294922,48.1499938964844,6,5,39,2,3,1,1,1,2,1.5,1,1,3,2.5,1.5,4,4,2,1,1,0.991421131982484,1.5,3,4,4.33333333333333,4,1,2,5,3,5,2,2,973,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88888888888889,NA,1.09399323539677,1.16666666666667,NA,NA,3,NA,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134,4,2
"124","Co-founders long absence due to becoming a father",7.47129821777344,51.4472961425781,5,2,32,3.5,2.5,1,1,1,1,3,3,2.5,2.5,1.5,2,5,5,3.53333333333333,1,1,-2.27648456346089,4,3,4,3.91666666666667,4,1,2,5,6,4,1,3.33333333333333,731,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1135,4,4
"125","A client requested last-minute changes to a project, which disrupted my schedule with my other projects, which caused delays, which inevitable cut into my free time.",33.3639068603516,35.1638031005859,2,4,23,1.5,3.5,1.5,1,1,4,2,2.5,1.5,2,3,1,3,2,1.6,1,1,0.0548905432849644,1.83333333333333,1,3,3.66666666666667,5,1,1,3,5,5,7,1.66666666666667,761,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136,4,2
"126","Co-workers are employed and had little time to assist",8.59519958496094,50.0971069335938,5,4,24,2.5,3,1.5,1,1,2.5,3.5,1.5,1,3,1.5,1,4,4,2.2,1,2,-0.267206320279809,2.66666666666667,1,7,3.33333333333333,4,1,2,4,2,4,5,1,973,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,3,3
"127","Products were not cleared by customs",13.4096984863281,52.5451049804688,4,5,23,2.5,3,3.5,2,2.5,3,2.5,3.5,3,3,2.5,3,5,4,2.66666666666667,1,1,0.0220827327687888,2.5,3,4,4,4,1,2,3,3,4,4,3.33333333333333,-92,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,4,2
